,status,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,category_code_advertising,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_AUS,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_USA,country_code_other,activedays
139,1,2005,2008.0,2011.0,2.0,4180000.0,2008.0,2008.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5840
140,1,2007,2008.0,2012.0,3.0,21000000.0,2008.0,2012.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
141,0,2005,2006.0,2008.0,2.0,7350000.0,2006.0,2009.0,3.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,1,2009,2010.0,2012.0,2.0,7900000.0,2012.0,2013.0,2.0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4380
143,1,2004,2012.0,2012.0,1.0,5000000.0,2009.0,2009.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6205
144,3,2007,2007.0,2012.0,3.0,16898621.0,2007.0,2007.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,1,2007,2010.0,2011.0,2.0,7100000.0,2011.0,2012.0,2.0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
146,3,2005,2007.0,2007.0,1.0,200000.0,2007.0,2013.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,3,2008,2008.0,2008.0,1.0,3200000.0,2009.0,2011.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
148,3,2007,2007.0,2007.0,1.0,4561780.722452607,2008.0,2010.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
149,1,2011,2011.0,2013.0,2.0,9000000.0,2012.0,2013.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3650
150,0,2007,2008.0,2008.0,1.0,4300000.0,2008.0,2011.0,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,1,2004,2007.0,2013.0,3.0,21100000.0,2010.0,2011.0,2.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
